id,name,popularity,release_date,image_link,artist_name,ranking
5TOYgNohZAFEPOtnchPhZS,Arlandria,61,2011,https://i.scdn.co/image/ab67616d00001e02cdac19bbaee5cc123edcc26f,Foo Fighters,1
2YA5IfmQwAmVzHRP3SVnEd,浪子回頭,61,2017,https://i.scdn.co/image/ab67616d00001e0237fdac5aa10114fff0097816,EggPlantEgg,2
17ItaqLDmSkPzqeGFRZDTs,Dong,46,2004,https://i.scdn.co/image/ab67616d00001e02ef7d6f0ce40056a9be4497ee,Power Station,3
1xrv9TBpxzQrIRURxGdbPW,有多少愛可以重來,39,1999,https://i.scdn.co/image/ab67616d00001e02b06c474e5d1cb12efa044962,Dick and Cowboy,4
2bnDTGikdoO8CwzlAPyBHR,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",62,2010,https://i.scdn.co/image/ab67616d00001e02484d121f0e2d2caf87d5d10b,B.o.B,5
1Ftov7XyqpOhDecF8c2GT1,囚鳥 - Remastered,24,2016,https://i.scdn.co/image/ab67616d00001e025644698943f5a6b2c7a8ee59,Phil Chang,6
6WoQzK5Exbfcmow1AoNRkl,可惜沒如果,65,2014,https://i.scdn.co/image/ab67616d00001e02a5f5d2df443e110d9e1f2212,JJ Lin,7
7uzJKRRrTqxUOeTtwQMd36,每天愛你多一些,60,1991,https://i.scdn.co/image/ab67616d00001e02c54b2bc9f5bc92843512d0ff,Jacky Cheung,8
6ROFCylI8z6qRyWFdTTNgt,我終於失去了你,24,2003,https://i.scdn.co/image/ab67616d00001e02fbebb17aa9192e64eb23d31b,Zhao Chuan,9
72OVnXDzugvrCU25lMi9au,"如果可以 - 電影""月老""主題曲",72,2021,https://i.scdn.co/image/ab67616d00001e02d8bd453784ae431700a851b0,WeiBird,10
0OXdfW3Q6VJGpg1k5Ik1SW,Give Me a Kiss,69,2022,https://i.scdn.co/image/ab67616d00001e02b3fad5cb6fdb92f495096475,Crash Adams,11
1k0YFNylstvLBC3C5vPWP9,吻別,59,1993,https://i.scdn.co/image/ab67616d00001e02000a30fb51a15ae39b3731a1,Jacky Cheung,12
